participants_id, color_distance, mental_demand, performance, effort, frustration
1 , 8 , 5 , 5 , 5 , 6
1 , 4 , 5 , 5 , 6 , 6
2 , 4 , 5 , 4 , 5 , 6
2 , 8 , 7 , 3 , 6 , 6
21 , 2 , 3 , 5 , 4 , 2
21 , 8 , 5 , 2 , 7 , 5
4 , 5 , 5 , 3 , 5 , 6
4 , 9 , 5 , 6 , 5 , 3
5 , 3 , 4 , 6 , 4 , 2
5 , 10 , 3 , 5 , 3 , 1
6 , 6 , 3 , 4 , 5 , 4
6 , 11 , 3 , 5 , 4 , 3
7 , 9 , 4 , 6 , 4 , 1
7 , 5 , 6 , 2 , 6 , 6
8 , 11 , 2 , 7 , 3 , 1
8 , 3 , 7 , 2 , 6 , 6
9 , 2 , 5 , 6 , 5 , 3
9 , 7 , 5 , 6 , 5 , 3
10 , 10 , 1 , 6 , 2 , 1
10 , 2 , 5 , 3 , 7 , 5
11 , 7 , 3 , 4 , 5 , 4
11 , 6 , 4 , 3 , 4 , 5
12 , 8 , 4 , 6 , 5 , 1
12 , 5 , 7 , 2 , 7 , 2
13 , 6 , 5 , 5 , 6 , 5
13 , 3 , 6 , 4 , 7 , 6
14 , 7 , 4 , 3 , 6 , 4
14 , 11 , 3 , 5 , 3 , 4
15 , 11 , 3 , 6 , 4 , 2
15 , 4 , 5 , 3 , 5 , 5
16 , 9 , 5 , 4 , 6 , 4
16 , 6 , 5 , 4 , 6 , 4
17 , 4 , 6 , 5 , 6 , 3
17 , 9 , 6 , 4 , 6 , 3
18 , 3 , 7 , 3 , 6 , 5
18 , 10 , 7 , 4 , 5 , 6
19 , 10 , 2 , 6 , 3 , 2
19 , 2 , 5 , 2 , 6 , 6
20 , 5 , 6 , 4 , 7 , 1
20 , 7 , 4 , 6 , 5 , 1
