participants_id, size_distance, mental_demand, performance, effort, frustration
1 , 7.5 , 5 , 6 , 5 , 5
1 , 20 , 5 , 7 , 5 , 5
2 , 20 , 4 , 6 , 6 , 4
2 , 12.5 , 3 , 6 , 4 , 3
21 , 15 , 2 , 6 , 2 , 1
21 , 20 , 1 , 7 , 1 , 1
4 , 15 , 7 , 5 , 7 , 6
4 , 5 , 5 , 6 , 5 , 3
5 , 25 , 1 , 7 , 3 , 1
5 , 15 , 1 , 7 , 2 , 1
6 , 22.5 , 2 , 6 , 2 , 1
6 , 10 , 2 , 6 , 4 , 1
7 , 10 , 5 , 7 , 5 , 1
7 , 2.5 , 6 , 4 , 6 , 4
8 , 5 , 6 , 5 , 6 , 2
8 , 17.5 , 5 , 6 , 6 , 4
9 , 17.5 , 5 , 6 , 6 , 3
9 , 7.5 , 4 , 6 , 4 , 2
10 , 12.5 , 2 , 6 , 3 , 1
10 , 25 , 4 , 6 , 5 , 2
11 , 2.5 , 4 , 3 , 6 , 6
11 , 22.5 , 2 , 6 , 2 , 3
12 , 10 , 5 , 7 , 4 , 1
12 , 22.5 , 6 , 3 , 5 , 2
13 , 20 , 4 , 6 , 5 , 3
13 , 10 , 3 , 6 , 3 , 2
14 , 2.5 , 6 , 3 , 5 , 5
14 , 17.5 , 3 , 5 , 4 , 3
15 , 7.5 , 5 , 5 , 6 , 6
15 , 25 , 3 , 6 , 5 , 3
16 , 5 , 4 , 6 , 5 , 1
16 , 15 , 4 , 5 , 4 , 2
17 , 17.5 , 2 , 7 , 3 , 1
17 , 12.5 , 2 , 7 , 1 , 1
18 , 22.5 , 5 , 4 , 5 , 3
18 , 7.5 , 3 , 5 , 3 , 2
19 , 12.5 , 5 , 4 , 5 , 5
19 , 2.5 , 5 , 1 , 5 , 6
20 , 25 , 4 , 6 , 5 , 1
20 , 5 , 5 , 5 , 5 , 1
